"ID stable","Nom","Region","RLS","Ville","Adresse","Type","Latitude","Longitude","Site","Courriel recrutement","Responsable","Publication suggeree","Recrutement actif"
"65","GMF Rigaud","Ouest","Vaudreuil-Soulanges","Rigaud","1, rue de l'Hôtel-de-Ville, Rigaud QC J0P 1P0","GMF","45,47632","-74,30447","https://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=36497","gmfrigaud@hotmail.com",,"Publiee","Oui ou deduit"
"66","CLSC de Rigaud","Ouest","Vaudreuil-Soulanges","Rigaud","59, rue Saint-Viateur, Rigaud QC J0P 1P0","CLSC","45,4758451","-74,2995497","https://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=1267","recrutement_omnis.cisssmo16@ssss.gouv.qc.ca",,"Publiee","Oui ou deduit"
"67","GMF Hudson","Ouest","Vaudreuil-Soulanges","Hudson","465, chemin Main, suite 200, Hudson QC J0P 1H0","GMF","45,45868","-74,14127","https://sante.gouv.qc.ca/en/repertoire-ressources/ressource/?nofiche=50729","gabrielle.gregoire.med@ssss.gouv.qc.ca",,"Publiee","Oui ou deduit"
"68","GMF Santé Ste-Angélique","Ouest","Vaudreuil-Soulanges","Saint-Lazare","1771-A, chemin Sainte-Angélique, Saint-Lazare QC J7T 2X7","GMF","45,3999252","-74,1352233","https://www.santesteangelique.ca/","Marie-eve.chicoine.med@ssss.gouv.qc.ca",,"Publiee","Oui ou deduit"
"69","CLSC de Vaudreuil-Dorion","Ouest","Vaudreuil-Soulanges","Vaudreuil-Dorion","3031, boulevard de la Gare, Vaudreuil-Dorion QC J7V 9R2","CLSC","45,3942417","-74,0539194","https://www.santemonteregie.qc.ca/installations/centre-multiservices-de-sante-et-de-services-sociaux-de-vaudreuil-dorion","recrutement_omnis.cisssmo16@ssss.gouv.qc.ca",,"Publiee","Oui ou deduit"
"70","GMF-U de Vaudreuil-Soulanges","Ouest","Vaudreuil-Soulanges","Vaudreuil-Dorion","3031, boulevard de la Gare, Vaudreuil-Dorion QC J7V 9R2","GMF-U","45,3942417","-74,0539194","https://www.mcgill.ca/familymed/fr/formation/sites-denseignement/umf/gmf-u-de-vaudreuil-soulanges","alexandra.massicotte.med@ssss.gouv.qc.ca",,"Publiee","Oui ou deduit"
"71","GMF-R Vaudreuil-Dorion","Ouest","Vaudreuil-Soulanges","Vaudreuil-Dorion","600, boulevard Harwood, bureau 10, Vaudreuil-Dorion QC J7V 6A3","GMF-R","45,37701","-74,02291","https://polycliniquemedicalevaudreuil.com/en/medical-clinic-gmf-vaudreuil-dorion/","Francine.tremblay.gmf16@ssss.gouv.qc.ca",,"Publiee","Oui ou deduit"
"72","GMF Pincourt","Ouest","Vaudreuil-Soulanges","Pincourt","88, 5e Avenue, Pincourt QC J7W 5K7","GMF","45,3811","-73,99262","https://gmfpincourt.com/","simona-iuliana.dospinescu.med@ssss.gouv.qc.ca",,"Publiee","Oui ou deduit"
"73","GMF des Trois Lacs","Ouest","Vaudreuil-Soulanges","Vaudreuil-Dorion","65, boulevard de la Cité-des-Jeunes, bureau 300, Vaudreuil-Dorion QC J7V 8C1","GMF","45,40293","-74,03721","https://gmfdestroislacs.ca/","sophie.maurice.med@ssss.gouv.qc.ca",,"Publiee","Oui ou deduit"
"74","CLSC de Coteau-du-Lac","Ouest","Vaudreuil-Soulanges","Coteau-du-Lac","341, chemin du Fleuve, Coteau-du-Lac QC J0P 1B0","CLSC","45,2917019","-74,1755368","https://www.santemonteregie.qc.ca/installations/chsld-et-clsc-de-coteau-du-lac","recrutement_omnis.cisssmo16@ssss.gouv.qc.ca",,"Publiee","Oui ou deduit"
"75","CLSC et GMF-U de Saint-Polycarpe","Ouest","Vaudreuil-Soulanges","Saint-Polycarpe","11, chemin de la Cité-des-Jeunes, Saint-Polycarpe QC J0P 1X0","CLSC","45,3002496","-74,2989667","https://www.santemonteregie.qc.ca/installations/clsc-et-groupe-de-medecine-de-famille-universitaire-de-saint-polycarpe","Doan-trang-lam.med@ssss.gouv.qc.ca",,"Publiee","Oui ou deduit"
"76","GMF du Lac Saint-François","Ouest","du Suroît","Salaberry-de-Valleyfield","521, boulevard du Havre, Salaberry-de-Valleyfield QC J6S 4Z5","GMF","45,26616","-74,12666","https://www.havresante.com/","recrutement_omnis.cisssmo16@ssss.gouv.qc.ca",,"Publiee","Oui ou deduit"
"77","GMF Salaberry","Ouest","du Suroît","Salaberry-de-Valleyfield","408, rue Jeanne-Mance, suite 100, Salaberry-de-Valleyfield QC J6T 4C6","GMF","45,24261","-74,1257","https://medival.ca/","recrutement_omnis.cisssmo16@ssss.gouv.qc.ca",,"Publiee","Oui ou deduit"
"78","GMF des Bâtisseurs","Ouest","du Suroît","Salaberry-de-Valleyfield","616, chemin Larocque, unité 300, Salaberry-de-Valleyfield QC J6T 4C5","GMF","45,234626","-74,1198936","https://cmbatisseurs.com/","recrutement_omnis.cisssmo16@ssss.gouv.qc.ca",,"Publiee","Oui ou deduit"
"79","Beauharnois en Santé","Ouest","du Suroît","Beauharnois","400, boulevard de Melocheville, bureau 1, Beauharnois QC J6N 0M6","Coopérative","45,31349","-73,87598","https://beauharnoisensante.com/","beauharnoisensante@hotmail.com",,"Publiee","Oui ou deduit"
"80","CLSC de Salaberry-de-Valleyfield","Ouest","du Suroît","Salaberry-de-Valleyfield","71, rue Maden, Salaberry-de-Valleyfield QC J6S 3V4","CLSC","45,26469","-74,13015","https://www.santemonteregie.qc.ca/installations/clsc-de-salaberry-de-valleyfield","recrutement_omnis.cisssmo16@ssss.gouv.qc.ca",,"Publiee","Oui ou deduit"
"81","CLSC de Beauharnois","Ouest","du Suroît","Beauharnois","142, rue Saint-Laurent, Beauharnois QC J6N 1V9","CLSC","45,31451","-73,87746","https://www.santemonteregie.qc.ca/installations/clsc-de-beauharnois","recrutement_omnis.cisssmo16@ssss.gouv.qc.ca",,"Publiee","Oui ou deduit"
"82","GMF du Haut-Saint-Laurent","Ouest","du Haut-Saint-Laurent","Huntingdon","60, rue F. Cleyn, suite 204, Huntingdon QC J0S 1H0","GMF","45,094037","-74,177756","https://complexedesantehuntingdon.ca/fr/centre-medical-huntingdon/","recrutement_omnis.cisssmo16@ssss.gouv.qc.ca",,"Publiee","Oui ou deduit"
"83","GMF Ormstown","Ouest","du Haut-Saint-Laurent","Ormstown","55, rue Isabelle, suite 200, Ormstown QC J0S 1K0","GMF","45,1188659","-73,9869003","https://ormstownmedicalclinic.com/","admin@cliniquemedicaleormstown.ca",,"Publiee","Oui ou deduit"
"84","CLSC de Huntingdon","Ouest","du Haut-Saint-Laurent","Huntingdon","10, rue King, bureau 200, Huntingdon QC J0S 1H0","CLSC","45,0888197","-74,1735774","https://www.santemonteregie.qc.ca/installations/clsc-de-huntingdon-huntingdon-clsc","recrutement_omnis.cisssmo16@ssss.gouv.qc.ca",,"Publiee","Oui ou deduit"
"85","CLSC de Saint-Chrysostome","Ouest","du Haut-Saint-Laurent","Saint-Chrysostome","21, rang Sainte-Anne, Saint-Chrysostome QC J0S 1R0","CLSC","45,10563","-73,76236","https://www.santemonteregie.qc.ca/installations/clsc-de-saint-chrysostome","recrutement_omnis.cisssmo16@ssss.gouv.qc.ca",,"Publiee","Oui ou deduit"
"86","Clinique de Médecine Familiale Sorel-Tracy","Est","Pierre-De Saurel","Sorel-Tracy","300 Rue Paradis, Sorel-Tracy, QC, J3P 3G6","Clinique médicale (hors GMF)","46,0414439","-73,0928948","https://gmfrichelieu.com/","",,"Publiee","Non"
"88","Clinique Médicale Marie-Victorin","Est","Pierre-De Saurel","Sorel-Tracy","500, route Marie-Victorin, bureau 101, Sorel-Tracy QC J3R 1K7","Clinique médicale (hors GMF)","46,039998","-73,124233","","","Dr François Godbout","Publiee","Non"
"96","Centre Médical Fusion","Est","Richelieu-Yamaska","Saint-Hyacinthe","2035, avenue Sainte-Anne suite 200, Saint-Hyacinthe, QC, J2S 5H3","GMF","45,6276089","-72,9522112","https://www.cliniquefusion.ca/","","Dre Andréanne Turmel","Publiee","Oui ou deduit"
"103","GMF de la Montagne (clinique du Docteur Jean Charbonneau)","Est","Richelieu-Yamaska","Beloeil","365 Boulevard Sir-Wilfrid-Laurier, unité 101, Beloeil, QC, J3G 4T2","GMF","45,556186","-73,21089","","","Dr Jean Charbonneau","Publiee","Non"
"104","GMF de la Rive (Clinique Médicale de la Rive)","Est","Richelieu-Yamaska","Otterburn Park","169, rue du Prince-Albert, Otterburn Park, QC, J3H 1L4","GMF","45,5430836","-73,2141083","https://www.gmfdelarive.ca/","","Dre Léa Palardy","Publiee","Non"
"105","GMF des Patriotes (Pure Clinique Médicale)","Est","Richelieu-Yamaska","Mont-Saint-Hilaire","77, boulevard Sir Wilfrid Laurier Bureau 200 A, Mont-Saint-Hilaire, QC, J3H 3N3","GMF","45,5635395","-73,1970124","https://purecliniquemedicale.com/","","Dre Stéphanie Perreault","Publiee","Non"
"114","Clinique le Médical","Est","Pierre-Boucher","Longueuil","1750, boulevard Marie-Victorin #285, Longueuil, QC, J4G 1A5","Clinique médicale (hors GMF)","45,568273","-73,486343","https://www.lemedical.ca/","","Dre Maryse Bergeron","Publiee","Non"
"119","Clinique Médicale Sainte-Hélène","Est","Pierre-Boucher","Longueuil","1260, rue Sainte-Hélène, Longueuil, QC, J4K 3S6","Clinique médicale (hors GMF)","45,51799","-73,499871","","","Dr Thien Hung Mac","Publiee","Non"
"127","GMF 3090 (Clinique Médicale Chemin Chambly)","Est","Pierre-Boucher","Longueuil","3090, chemin Chambly, bureau 101, Longueuil, QC, J4L 4N5","GMF","45,5177749","-73,4546371","https://www.gmf3090.ca/accueil","","Dr Paul Sader","Publiee","Oui ou deduit"
"128","GMF Contrecœur (Coopérative Santé Contrecœur)","Est","Pierre-Boucher","Contrecœur","4915, route Marie-Victorin, Contrecœur, QC, J0L 1C0","GMF","45,856522","-73,239115","https://www.gmfcontrecoeur.com/","","Dre Sophie Péloquin","Publiee","Non"
"129","Clinique des professionnels de la santé Sorel-Tracy (clinique B)","Est","Pierre-De Saurel","Sorel-Tracy","330, avenue de l'Hôtel-Dieu, Unité A, Sorel-Tracy QC J3P 1N4","Clinique médicale","46,046109","-73,097161","https://cliniquemedicalesorel-tracy.ca","","Dre Karine Laliberté","Publiee","Oui ou deduit"
"130","Clinique des professionnels de la santé Sorel-Tracy (clinique C – GMF St-Mathieu de Beloeil)","Est","Pierre-De Saurel","Sorel-Tracy","330, avenue de l'Hôtel-Dieu, Unité A, Sorel-Tracy QC J3P 1N4","GMF","46,046109","-73,097161","https://cliniquemedicalesorel-tracy.ca","emilie.boisvert.med@ssss.gouv.qc.ca","Dre Emilie Boisvert","Publiee","Oui ou deduit"
